number,name,status
571,The manylinux2010 Platform Tag,Superseded
558,Defined semantics for locals(),Withdrawn
575,Unifying function/method classes,Withdrawn
548,More Flexible Loop Control,Rejected
543,A Unified TLS API for Python,Withdrawn
555,Context-local variables (contextvars),Withdrawn
550,Execution Context,Withdrawn
521,Managing global context via ‘with’ blocks in generators and coroutines,Withdrawn
549,Instance Descriptors,Rejected
546,Backport ssl.MemoryBIO and ssl.SSLObject to Python 2.7,Rejected
542,Dot Notation Assignment In Function Header,Rejected
513,A Platform Tag for Portable Linux Built Distributions,Superseded
516,Build system abstraction for pip/conda etc,Rejected
531,Existence checking operators,Withdrawn
536,Final Grammar for Literal String Interpolation,Withdrawn
509,Add a private version to dict,Superseded
507,Migrate CPython to Git and GitLab,Rejected
522,Allow BlockingIOError in security sensitive APIs,Rejected
504,Using the System RNG by default,Withdrawn
511,API for code transformers,Rejected
510,Specialize functions with guards,Rejected
502,String Interpolation - Extended Discussion,Rejected
500,A protocol for delegating datetime methods to their tzinfo implementations,Rejected
496,Environment Markers,Rejected
497,A standard mechanism for backward compatibility,Rejected
501,General purpose template literal strings,Withdrawn
473,Adding structured data to built-in exceptions,Rejected
490,Chain exceptions at C level,Rejected
463,Exception-catching expressions,Rejected
469,Migration of dict iteration code to Python 3,Withdrawn
460,Add binary interpolation and formatting,Withdrawn
474,Creating forge.python.org,Withdrawn
481,"Migrate CPython to Git, Github, and Phabricator",Withdrawn
459,Standard Metadata Extensions for Python Software Packages,Withdrawn
472,Support for indexing with keyword arguments,Rejected
462,Core development workflow automation for CPython,Withdrawn
432,Restructuring the CPython startup sequence,Withdrawn
455,Adding a key-transforming dictionary to collections,Rejected
426,Metadata for Python Software Packages 2.0,Withdrawn
439,Inclusion of implicit pip bootstrap in Python installation,Rejected
416,Add a frozendict builtin type,Rejected
437,"A DSL for specifying signatures, annotations and argument converters",Rejected
422,Simpler customisation of class creation,Withdrawn
408,Standard library __preview__ package,Rejected
406,Improved Encapsulation of Import State,Withdrawn
410,Use decimal.Decimal type for timestamps,Rejected
431,Time zone support improvements,Superseded
433,Easier suppression of file descriptor inheritance,Superseded
395,Qualified Names for Modules,Withdrawn
413,Faster evolution of the Python Standard Library,Withdrawn
411,Provisional packages in the Python standard library,Superseded
402,Simplified Package Layout and Partitioning,Rejected
381,Mirroring infrastructure for PyPI,Withdrawn
401,BDFL Retirement,April Fool!
396,Module Version Numbers,Withdrawn
390,Static metadata for Distutils,Rejected
369,Post import hooks,Withdrawn
386,Changing the version comparison module in Distutils,Superseded
363,Syntax For Dynamic Attribute Access,Rejected
382,Namespace Packages,Rejected
359,The “make” Statement,Withdrawn
364,Transitioning to the Py3K Standard Library,Withdrawn
379,Adding an Assignment Expression,Withdrawn
350,Codetags,Rejected
377,Allow __enter__() methods to skip the statement body,Rejected
349,Allow str() to return unicode strings,Rejected
367,New Super,Superseded
365,Adding the pkg_resources module,Rejected
345,Metadata for Python Software Packages 1.2,Superseded
348,Exception Reorganization for Python 3.0,Rejected
354,Enumerations in Python,Superseded
351,The freeze protocol,Rejected
355,Path - Object oriented filesystem paths,Rejected
334,Simple Coroutines via SuspendIteration,Withdrawn
335,Overloadable Boolean Operators,Rejected
332,Byte vectors and String/Unicode Unification,Rejected
346,User Defined (”,Withdrawn
330,Python Bytecode Verification,Rejected
344,Exception Chaining and Embedded Tracebacks,Superseded
329,Treating Builtins as Constants in the Standard Library,Rejected
325,Resource-Release Support for Generators,Rejected
321,Date/Time Parsing and Formatting,Withdrawn
336,Make None Callable,Rejected
340,Anonymous Block Statements,Rejected
339,Design of the CPython Compiler,Withdrawn
319,Python Synchronize/Asynchronize Block,Rejected
314,Metadata for Python Software Packages 1.1,Superseded
304,Controlling Generation of Bytecode Files,Withdrawn
317,Eliminate Implicit Exception Instantiation,Rejected
313,Adding Roman Numeral Literals to Python,Rejected
326,A Case for Top and Bottom Values,Rejected
299,Special __main__() function in modules,Rejected
315,Enhanced While Loop,Rejected
306,How to Change Python’s Grammar,Withdrawn
310,Reliable Acquisition/Release Pairs,Rejected
303,Extend divmod() for Multiple Divisors,Rejected
297,Support for System Upgrades,Rejected
298,The Locked Buffer Interface,Withdrawn
296,Adding a bytes Object Type,Withdrawn
295,Interpretation of multiline string constants,Rejected
275,Switching on Multiple Values,Rejected
270,uniq method for list objects,Rejected
291,Backward Compatibility for the Python 2 Standard Library,Superseded
294,Type Names in the types Module,Rejected
288,Generators Attributes and Exceptions,Withdrawn
284,Integer for-loops,Rejected
281,Loop Counter Iteration with range and xrange,Rejected
262,A Database of Installed Python Packages,Rejected
265,Sorting Dictionaries by Value,Rejected
276,Simple Iterator for ints,Rejected
271,Prefixing sys.path by command line option,Rejected
268,Extended HTTP functionality and WebDAV,Rejected
266,Optimizing Global Variable/Attribute Access,Withdrawn
243,Module Repository Upload Mechanism,Withdrawn
259,Omit printing newline after newline,Rejected
258,Docutils Design Specification,Rejected
256,Docstring Processing System Framework,Rejected
254,Making Classes Look More Like Types,Rejected
245,Python Interface Syntax,Rejected
246,Object Adaptation,Rejected
241,Metadata for Python Software Packages,Superseded
239,Adding a Rational Type to Python,Rejected
240,Adding a Rational Literal to Python,Rejected
224,Attribute Docstrings,Rejected
244,The ,Rejected
225,Elementwise/Objectwise Operators,Rejected
215,String Interpolation,Superseded
216,Docstring Format,Withdrawn
212,Loop Counter Iteration,Rejected
242,Numeric Kinds,Withdrawn
209,Multi-dimensional Arrays,Withdrawn
231,__findattr__(),Rejected
228,Reworking Python’s Numeric Model,Withdrawn
220,"Coroutines, Generators, Continuations",Rejected
204,Range Literals,Rejected
42,Feature Requests,Withdrawn
103,Collecting information about git,Withdrawn
9,Sample Plaintext PEP Template,Withdrawn
211,Adding A New Outer Product Operator,Rejected
210,Decoupling the Interpreter Loop,Rejected
206,Python Advanced Library,Withdrawn
734,Multiple Interpreters in the Stdlib,Deferred
102,Doing Python Micro Releases,Superseded
568,Generator-sensitivity for Context Variables,Deferred
3,Guidelines for Handling Bug Reports,Withdrawn
3150,Statement local namespaces (aka “given” clause),Deferred
3143,Standard daemon process library,Deferred
3124,"Overloading, Generic Functions, Interfaces, and Adaptation",Deferred
534,Improved Errors for Missing Standard Library Modules,Deferred
674,Disallow using macros as l-values,Deferred
499,,Deferred
532,A circuit breaking protocol and binary operators,Deferred
556,Threaded garbage collection,Deferred
447,Add __getdescriptor__ method to metaclass,Deferred
491,The Wheel Binary Package Format 1.9,Deferred
547,Running extension modules using the -m option,Deferred
535,Rich comparison chaining,Deferred
444,Python Web3 Interface,Deferred
533,Deterministic cleanup for iterators,Deferred
400,Deprecate codecs.StreamReader and codecs.StreamWriter,Deferred
505,None-aware operators,Deferred
337,Logging Usage in the Standard Library,Deferred
368,Standard image protocol and class,Deferred
423,Naming conventions and recipes related to packaging,Deferred
419,Protecting cleanup statements from interruptions,Deferred
407,New release cycle and introducing long-term support versions,Deferred
403,General purpose decorator clause (aka “@in” clause),Deferred
323,Copyable Iterators,Deferred
312,Simple Implicit Lambda,Deferred
286,Enhanced Argument Tuples,Deferred
316,Programming by Contract for Python,Deferred
222,Web Library Enhancements,Deferred
280,Optimizing access to globals,Deferred
267,Optimized Access to Module Namespaces,Deferred
213,Attribute Access Handlers,Deferred
269,Pgen Module for Python,Deferred
233,Python Online Help,Deferred
3003,Python Language Moratorium,Final
581,Using GitHub Issues for CPython,Final
569,Python 3.8 Release Schedule,Final
8001,Python Governance Voting Process,Final
219,Stackless Python,Deferred
541,Package Index Name Retention,Final
3100,Miscellaneous Python 3.0 Plans,Final
3099,Things that will Not Change in Python 3000,Final
3000,Python 3000,Final
494,Python 3.6 Release Schedule,Final
3002,Procedure for Backwards-Incompatible Changes,Final
512,Migrating from hg.python.org to GitHub,Final
478,Python 3.5 Release Schedule,Final
404,Python 2.8 Un-release Schedule,Final
398,Python 3.3 Release Schedule,Final
537,Python 3.7 Release Schedule,Final
392,Python 3.2 Release Schedule,Final
464,Removal of the PyPI Mirror Authenticity API,Final
375,Python 3.1 Release Schedule,Final
470,Removing External Hosting Support on PyPI,Final
429,Python 3.4 Release Schedule,Final
438,Transitioning to release-file hosting on PyPI,Superseded
385,Migrating from Subversion to Mercurial,Final
449,Removal of the PyPI Mirror Auto Discovery and Naming Scheme,Final
283,Python 2.3 Release Schedule,Final
251,Python 2.2 Release Schedule,Final
374,Choosing a distributed VCS for the Python project,Final
373,Python 2.7 Release Schedule,Final
360,Externally Maintained Packages,Final
356,Python 2.5 Release Schedule,Final
361,Python 2.6 and 3.0 Release Schedule,Final
347,Migrating the Python CVS to Subversion,Final
320,Python 2.4 Release Schedule,Final
6,Bug Fix Releases,Superseded
160,Python 1.6 Release Schedule,Final
3156,Asynchronous IO Support Rebooted: the “asyncio” Module,Final
5,Guidelines for Language Evolution,Superseded
3148,futures - execute computations asynchronously,Final
3149,ABI version tagged .so files,Final
226,Python 2.1 Release Schedule,Final
200,Python 2.0 Release Schedule,Final
3154,Pickle protocol version 4,Final
3137,Immutable Bytes and Mutable Buffer,Final
3155,Qualified name for classes and functions,Final
3147,PYC Repository Directories,Final
3151,Reworking the OS and IO exception hierarchy,Final
3141,A Type Hierarchy for Numbers,Final
3144,IP Address Manipulation Library for the Python Standard Library,Final
3138,String representation in Python 3000,Final
3135,New Super,Final
3121,Extension Module Initialization and Finalization,Final
3134,Exception Chaining and Embedded Tracebacks,Final
3131,Supporting Non-ASCII Identifiers,Final
3132,Extended Iterable Unpacking,Final
3129,Class Decorators,Final
3118,Revising the buffer protocol,Final
3116,New I/O,Final
3123,Making PyObject_HEAD conform to standard C,Final
3127,Integer Literal Support and Syntax,Final
3113,Removal of Tuple Parameter Unpacking,Final
3111,Simple input built-in in Python 3000,Final
3109,Raising Exceptions in Python 3000,Final
3120,Using UTF-8 as the default source encoding,Final
3110,Catching Exceptions in Python 3000,Final
3119,Introducing Abstract Base Classes,Final
3115,Metaclasses in Python 3000,Final
3114,Renaming iterator.next() to iterator.__next__(),Final
3106,"Revamping dict.keys(), .values() and .items()",Final
